#,单词,音标,解释,笔记
512,"approx","/ə'prɔks/","adv. 大约,大概",
513,"aquarium","英:/ə'kweərɪəm/ 美:/ə'kwɛrɪəm/","n. 养鱼缸, 水族馆

复 数: 
aquaria",
514,"arbitrary","英:/'ɑːbɪt(rə)rɪ/ 美:/'ɑrbətrɛri/","- adj. 随意的, 主观的
- 专横的, 独断专行的

副 词:  
arbitrarily

名 词:  
arbitrariness",
515,"army","英:/'ɑːmɪ/ 美:/'ɑrmi/","n. 陆军，军队",
516,"arrangement","英:/ə'reɪn(d)ʒm(ə)nt/ 美:/ə'rendʒmənt/","- n. 安排; 解决办法
- 约定; 协议
- 布置好的东西
- 改编曲",
517,"arrest","英:/ə'rest/ 美:/ə'rɛst/","- vt. 吸引；逮捕；阻止
- n. 逮捕；监禁


时 态:  
arrested, arresting, arrests 

名 词:  
arrestment",
518,"asthma","英:/'æsmə/ 美:/'æzmə/","n. 〈医〉气喘; 哮喘

形容词:  
asthmatic",
519,"astonishment","英:/ə'stɒnɪʃmənt/ 美:/ə'stɑnɪʃmənt/","- n. 惊讶, 惊奇
- 令人惊讶的事物或人",
520,"astrology","英:/ə'strɒlədʒɪ/ 美:/ə'strɑlədʒi/","n. 占星术

名 词:  
astrologer

形容词:  
astrological",
521,"astronomer","英:/ə'strɒnəmə/ 美:/ə'strɑnəmɚ/","n. 天文学者；天文学家",
522,"atheist","英:/'eɪθɪɪst/ 美:/'eθɪɪst/","n. 无神论者",
523,"atomic","英:/ə'tɒmɪk/ 美:/ə'tɑmɪk/","adj. 原子的，原子能的；微粒子的


副 词:  
atomically",
524,"auger","英:/'ɔːgə/ 美:/'ɔgɚ/","- n. 螺旋钻；木螺钻；地螺钻
- vt. 用钻子钻洞于

Auger笋螺属",
525,"avocado","英:/ˌævəˈkɑ:dəʊ/ 美:/ˌævə'kɑdo/","n. 鳄梨；鳄梨树；牛油果",
526,"backrest","英:/'bækrest/ 美:/'bækrɛst/","n. 座位靠背",
527,"bacterium","英:/bæk'tɪərɪəm/ 美:/bæk'tɪrɪəm/","- n. 细菌 (复数为bacteria)
- adj. 细菌的

复 数: 
bacteria",
528,"ballads","/'bæləd/","- n. 民歌；叙事诗歌；情歌（ballad的复数）
- v. 创作叙事曲；编写叙事诗歌（ballad的三单形式）",
529,"ballerina","英:/bælə'riːnə/ 美:/ˌbælə'rinə/","n. (意大利语)芭蕾舞女演员(尤指演主角的)",
530,"bandits","/'bændits/","n. 盗贼；土匪（bandit的复数）",
531,"banquet","英:/'bæŋkwɪt/ 美:/'bæŋkwɪt/","n. 宴会, 盛宴

时 态:  
banqueted, banqueting, banquets",
532,"barrel","英:/'bær(ə)l/ 美:/'bærəl/","- vt. 把……装入桶内
- n. 桶；枪管，炮管
- vi. 快速移动


时 态:  
barreled, barrelled 
barreling, barrelling 
barrels, barrels",
533,"barren","英:/'bær(ə)n/ 美:/'bærən/","- adj. 贫瘠的
- 不孕的，不生育的；不结果的
- 无用的，空洞的，无结果的

名 词:  
barrenness",
534,"barrier","英:/'bærɪə/ 美:/'bærɪɚ/","- n. 障碍物，屏障；界线
- vt. 把…关入栅栏",
535,"batter","英:/'bætə/ 美:/'bætɚ/","- n. 击球手；（用鸡蛋、牛奶、面粉等调成的）糊状物；墙面的倾斜
- vt. 猛击；打坏；使向上倾斜
- vi. 接连猛击；向上倾斜


时 态:  
battered, battering, batters",
536,"be about to","","刚要, 即将",
537,"bearer","英:/'beərə/ 美:/'bɛrɚ/","n. [建]承木；托架；持票人；送信人；搬运工人",
538,"biographical","英:/baɪə'græfɪk(ə)l/ 美:/ˌbaɪə'græfɪkl/","adj. 关于(某人)生平的, 传记的

副 词:  
biographically",
539,"biologist","/bai'ɔlədʒist/","n. 生物学家",
540,"biometrics","英:/ˌbaɪəʊ'metrɪks/ 美:/ˌbaɪə'mɛtrɪks/","n. 生物测定学",
541,"blended","/'blendid/","- v. 混合（blend的过去式和过去分词）
- adj. 数种混合的；混杂的",
542,"blunt","英:/blʌnt/ 美:/blʌnt/","- adj. 钝的，不锋利的；生硬的；直率的
- vt. 使迟钝


比较级:  
blunter, bluntest 

副 词:  
bluntly

名 词:  
bluntness",
543,"blushed","/blʌʃ/","adj. 脸红的（blush的过去分词）",
544,"boastful","英:/'bəʊstfʊl/ 美:/'bostfl/","adj. 自夸的；喜夸耀的；自负的",
545,"bolt","英:/bəʊlt/ 美:/bolt/","- n. 闪电；螺栓；门闩；弩箭
- vt. 囫囵吞下；上门闩
- vi. 逃跑；冲出
- adv. 直立地；突然地


时 态:  
bolted, bolting, bolts",
546,"bonus","英:/'bəʊnəs/ 美:/'bonəs/","n. 奖金；红利；额外津贴

BONUSabbr. Boling Nuclear Superheat Reactor 沸腾式过热核反应堆",
547,"botany","英:/'bɒt(ə)nɪ/ 美:/'bɑtəni/","n. 植物学；地区植物总称

Botany澳洲细羊毛(的)",
548,"boutique","英:/buː'tiːk/ 美:/bu'tik/","- n. 精品店；专卖流行衣服的小商店
- adj. 精品屋的；小规模专售精品的",
549,"boycott","英:/'bɒɪkɒt/ 美:/'bɔɪkɑt/","- vt. 联合抵制；拒绝参加
- n. 联合抵制


时 态:  
boycotted, boycotting, boycotts",
550,"bracelet","英:/'breɪslɪt/ 美:/'breslət/","n. 手镯",
551,"bracket","英:/'brækɪt/ 美:/'brækɪt/","- n. 支架；括号；墙上凸出的托架
- vt. 括在一起；把…归入同一类；排除


时 态:  
bracketed, bracketing, brackets",
552,"Braid","英:/breɪd/ 美:/bred/","- n. 发辫，辫子
- 穗带，镶边
- 辫带
- vt. 把(头发)编成辫子；把…编成穗带
- (用饰带等)镶缀
- 编织，编结

时 态:  
braided，braiding，braids 

名 词:  
braider",
553,"brewing","英:/'bruːɪŋ/ 美:/'brʊɪŋ/","n. 酿造",
554,"bring about","","引起；[航]使掉头",
555,"broccoli","英:/'brɒkəlɪ/ 美:/'brɑkəli/","n. 花椰菜；西兰花",
556,"brochure","英:/'brəʊʃə/ 美:/bro'ʃʊr/","n. 手册，小册子",
557,"brocoli","/'brɔkəli/","n. 椰菜，花椰菜",
558,"bronze","英:/brɒnz/ 美:/brɑnz/","- n. 青铜
- 青铜色, 赤褐色
- 青铜艺术品, 铜牌

时 态:  
bronzed, bronzing, bronzes 

名 词:  
bronzer

形容词:  
bronzy",
559,"Buffet","英:/'bʊfeɪ/ 美:/bə'fe/","- n. 打击；小卖部；猛烈冲击；自助餐
- vt. 与…搏斗；连续猛击
- vi. 斗争；奋勇前进
- adj. 自助的；自助餐的


时 态:  
buffeted, buffeting, buffets",
560,"bugger","英:/'bʌgə/ 美:/'bʌɡɚ/","- n. 家伙；同性恋者；鸡奸者
- vt. 与…鸡奸；毁坏


时 态:  
buggered, buggering, buggers  



时 态:  
buggered, buggering, buggers",
561,"bulb","英:/bʌlb/ 美:/bʌlb/","- n. 电灯泡；球状物；[植]鳞茎
- vi. 生球茎；膨胀成球状",
562,"bulk","英:/bʌlk/ 美:/bʌlk/","- n. 体积，容量；大块；大多数，大部分
- vt. 使扩大，使形成大量；使显得重要


时 态:  
bulked, bulking, bulks",
563,"bulldozer","英:/'bʊldəʊzə/ 美:/'bʊl'dozɚ/","- n. 推土机
- 恐吓者；威胁者",
564,"bumblebee","英:/'bʌmb(ə)lbiː/ 美:/'bʌmblbi/","n. 大黄蜂,熊蜂",
565,"bureau","英:/'bjʊərəʊ/ 美:/'bjʊro/","n. 衣柜；局，处；办公桌


复 数: 
bureaux",
566,"bustling","/'bʌsliŋ/","adj. 忙乱的；熙熙攘攘的",
567,"caffeine","英:/'kæfiːn/ 美:/'kæfin/","n. 咖啡因",
568,"calculus","英:/'kælkjʊləs/ 美:/'kælkjələs/","- n. 微积分(学)
- 结石, 积石",
569,"calm","英:/kɑːm/ 美:/kɑm/","- adj. 静的，平静的；沉着的
- vt. 使平静；使镇定
- vi. 平静下来；镇定下来
- n. 风平浪静


比较级:  
calmer, calmest 

副 词:  
calmly

名 词:  
calmness",
570,"camper van","","camper van UK  US  noun [countable] [singular camper van plural camper vans] British
  a motor vehicle used for living in on holidays It is smaller than a caravan . 

      Thesaurus: camping and caravanninghyponym road vehicles other than carshyponym people who travelhyponym",
571,"canary","英:/kə'neərɪ/ 美:/kə'nɛri/","- n. 金丝雀
- 加那利白葡萄酒
- (十六世纪流行于法国及西班牙的)加那利舞
- 淡黄色
- 告密者
- 女歌手",
572,"candour","英:/'kændə/ 美:/ˈkændɚ/","n. 正直，公正；直率；洁白",
573,"cannabis","英:/'kænəbɪs/ 美:/'kænəbɪs/","- n. 大麻
- 大麻制品
Cannabis大麻属

形容词:  
cannabic",
574,"canola","英:/kə'nolə/ 美:/kəˈnolə/","n. 加拿大油菜",
575,"Cantonese","英:/ˌkæntəˈni:z/ 美:/ˌkæntəˈniz/","n. 广东人,广东话

形容词:  
Cantonese",
576,"capsule","英:/'kæpsjuːl/ 美:/ˈkæpsl,ˈkæpsuːl/","- n. [医]胶囊；[航]太空舱；[植]蒴果；小容器
- adj. 压缩的；概要的
- vt. 简述；压缩


时 态:  
capsuled, capsuling, capsules",
577,"caravan","英:/'kærəvæn/ 美:/'kærəvæn/","n. 旅行队；大篷车",
578,"carbon emissions","","carbon emissions UK  US  noun [plural]
  carbon dioxide and carbon monoxide in the atmosphere, produced by vehicles and industrial processes
      Thesaurus: pollutantshyponym natural worldsynonym",
579,"carpets","/'kɑ:pit/","- n. 地毯（carpet的复数）
- v. 在…上铺地毯；铺盖（carpet的三单形式）",
580,"carrousel","英:/ˌkærə'sel/ 美:/ˌkærʊ'zɛl/","n. 旋转木马",
581,"carry off","","夺去；获得；使丧命；成功地处理",
582,"cashew","英:/'kæʃuː/ 美:/'kæʃʊ/","- n. 腰果树；腰果（等于cashew nut）
- adj. 漆树科的",
583,"cask","英:/kɑːsk/ 美:/kæsk/","- n. 木桶，桶
- vt. 装入桶内",
584,"casserole","英:/'kæsərəʊl/ 美:/'kæsərol/","- n. 焙盘;砂锅
- 焙盘菜;砂锅菜",
585,"cast away","","丢掉，浪费；使失事",
586,"catcher","英:/'kætʃə/ 美:/'kætʃɚ/","n. 捕手，捕捉者；[棒球]接球手",
587,"Catholicism","英:/kəˈθɔliˌsizəm/ 美:/kəˈθɑlɪˌsɪzəm/","n. 天主教",
588,"censure","英:/'senʃə/ 美:/'sɛnʃɚ/","- vt. 责难，责备
- n. 责难
- vi. 谴责，责备


时 态:  
censured, censuring, censures",
589,"cereal","英:/'sɪərɪəl/ 美:/'sɪrɪəl/","- n. 谷类植物, 谷物
- 谷类食物, 麦片粥",
590,"Cervical smears","","",
591,"chalk","英:/tʃɔːk/ 美:/tʃɔk/","- vt. 用粉笔写；用白垩粉擦；记录；规划
- n. 粉笔；白垩；用粉笔划的记号
- adj. 用粉笔写的
- vi. 变成白垩状


时 态:  
chalked, chalking, chalks 

名 词:  
chalkiness

形容词:  
chalky",
592,"chameleon","英:/kə'miːlɪən/ 美:/kə'miljən/","n. 变色蜥蜴,变色龙

形容词:  
chameleonic",
593,"Chardonnay","/ˌʃɑ:dən'ei/","n. 夏敦埃酒(一种类似夏布利酒的无甜味白葡萄酒)",
594,"cheetah","英:/'tʃiːtə/ 美:/'tʃitə/","n. 猎豹",
595,"Chimney","英:/'tʃɪmnɪ/ 美:/'tʃɪmni/","n. 烟囱, 烟筒",
596,"choir","英:/'kwaɪə/ 美:/'kwaɪɚ/","- n. 合唱队；唱诗班；舞蹈队
- vt. 合唱
- vi. 合唱


时 态:  
choired, choiring, choirs",
597,"chorizo","英:/tʃə'riːzəʊ/ 美:/tʃə'rizo/","n. 西班牙加调料的口利左香肠",
598,"chorten","/'tʃɔːt(ə)n/","n. (喇嘛教的)神龛,(喇嘛的)圣骨冢，纪念碑",
599,"Cinderella","英:/ˌsindəˈrelə/ 美:/ˌsɪndəˈrɛlə/","n. 灰姑娘（""水晶鞋与玫瑰花""中的女主人公）",
600,"citadel","英:/'sɪtəd(ə)l/ 美:/ˈsɪtədəl/","n. 城堡,堡垒",
601,"citrus","英:/ˈsitrəs/ 美:/ˈsɪtrəs/","n. 柑橘属果树
Citrus柑桔属",
602,"clause","英:/klɔːz/ 美:/klɔːz/","- n. 从句
- (法律文件等的)条款

形容词:  
clausal",
603,"cleaver","英:/'kliːvə/ 美:/'klivɚ/","n. 切肉刀；劈刀",
604,"clue","英:/kluː/ 美:/klʊ/","- n. 线索；（故事等的）情节
- vt. 为…提供线索；[口]为…提供情况


时 态:  
clued, clueing, cluing 
clues",
605,"clutch","英:/klʌtʃ/ 美:/klʌtʃ/","- n. 控制；手；离合器；紧急关头
- vi. 攫；企图抓住
- vt. 抓住；紧握
- adj. 没有手提带或背带的；[美口]紧要关头的


时 态:  
clutched, clutching, clutches",
606,"clutter","英:/'klʌtə/ 美:/'klʌtɚ/","- n. 杂乱，混乱
- vt. 使凌乱；胡乱地填满


时 态:  
cluttered, cluttering, clutters",
607,"coaster","英:/'kəʊstə/ 美:/'kostɚ/","n. 沿岸贸易船；杯托，小托盘；雪橇",
608,"cockpit","英:/'kɒkpɪt/ 美:/'kɑkpɪt/","- n. (飞机, 小船或赛艇的)驾驶室
- 斗鸡场",
609,"Cockroach","英:/'kɒkrəʊtʃ/ 美:/'kɑk'rotʃ/","n. 蟑螂",
610,"coherent","英:/kə(ʊ)'hɪər(ə)nt/ 美:/ko'hɪrənt/","adj. 条理清楚的，连贯的；前后一致的

副 词:  
coherently",
611,"collage","英:/'kɒlɑːʒ/ 美:/kə'lɑʒ/","- n. 拼贴画
- 杂烩

时 态:  
collaged, collaging, collages",
612,"collagen","英:/'kɒlədʒ(ə)n/ 美:/'kɑlədʒən/","n. 胶原，胶原质",
613,"collision","英:/kə'lɪʒ(ə)n/ 美:/kə'lɪʒən/","n. 碰撞, 冲突, 抵触

形容词:  
 collisional",
614,"colloquial","英:/kə'ləʊkwɪəl/ 美:/kə'lokwɪəl/","adj. 口语的, 会话的

名 词:  
colloquial

副 词:  
colloquially",
615,"colour-coded","","colour-coded UK  US  adjective
  marked with different colours to make it easy to see different features or uses
      Thesaurus: general words used to describe colourshyponym",
616,"coma","英:/'kəʊmə/ 美:/'komə/","n. 昏迷；彗形像差


形容词:  
comal",
617,"combustion","英:/kəm'bʌstʃ(ə)n/ 美:/kəm'bʌstʃən/","n. 燃烧, 烧毁

形容词:  
combustive",
618,"come to terms with sth","","终于接受",
619,"commercial airline","","",
620,"committee","英:/kə'mɪtɪ/ 美:/kə'mɪti/","n. 委员会; 全体委员",
621,"community","英:/kə'mjuːnɪtɪ/ 美:/kə'mjʊnəti/","- n. 社区, 社会, 团体
- 大众, 公众
- 共有, 共享",
622,"compactly","/kəm'pæktli/","adv. 细密地,简洁地",
623,"companion","英:/kəm'pænjən/ 美:/kəm'pænɪən/","- n. 同伴, 伙伴
- 成双成对的物品之一

时 态:  
companioned, companioning, companions",
624,"compatible","英:/kəm'pætɪb(ə)l/ 美:/kəm'pætəbl/","adj. 可以并存的, 相容的, 协调的

副 词:  
compatibly",
625,"complacent","英:/kəm'pleɪs(ə)nt/ 美:/kəm'plesnt/","adj. 自满的, 自鸣得意的

副 词:  
complacently",
626,"complimentary","英:/kɒmplɪ'ment(ə)rɪ/ 美:/ˌkɑmplɪ'mɛntri/","- adj. 表示敬意的，赞美的，恭维的
- 赠送的
- adv. 崇敬地,赞美地,赞许地",
627,"composite","英:/'kɒmpəzɪt/ 美:/kəm'pɑzət/","adj. 混合成的, 综合成的

名 词:  
compositeness",
628,"compound","英:/'kɒmpaʊnd/ 美:/'kɑmpaʊnd/","- vt. 混合；合成；和解妥协；搀合
- vi. 妥协；和解
- n. 化合物；复合词；混合物
- adj. 复合的；混合的


时 态:  
compounded, compounding, compounds 

名 词:  
compounder",
629,"comprehensive","英:/kɒmprɪ'hensɪv/ 美:/ˌkɑmprɪ'hɛnsɪv/","adj. 广泛的, 综合的

副 词:  
comprehensively",
630,"concentrated","英:/ˈkɔnsntreɪtɪd/ 美:/'kɑnsn'tretɪd/","adj. 集中的；浓缩的；全神贯注的
v. 集中（concentrate的过去分词）",
631,"concession","英:/kən'seʃ(ə)n/ 美:/kən'sɛʃən/","- n. 承认, 允许
- 妥协, 让步
- 特许权

形容词:  
concessional

形容词:  
concessionary",
632,"condiments","/'kɔndimənt/","n. 调味品",
633,"cone","英:/kəʊn/ 美:/kon/","- n. 圆锥体，圆锥形；球果
- vt. 使成锥形


时 态:  
coned, coning, cones",
634,"confrontation","英:/ˌkɒnfrʌnˈteɪʃən/ 美:/ˌkɑːnfrənˈteɪʃən/","n. 对抗, 对抗的事物

形容词:  
confrontational

名 词:  
confrontationist",
635,"congestion","/kən'dʒestʃən/","- n. 拥挤;堵车
- 充血;阻塞",
636,"conquer","英:/'kɒŋkə/ 美:/'kɑŋkɚ/","- vt. 攻克, 征服
- 破除, 克服
- vi. 得胜

时 态:  
conquered, conquering, conquers 

形容词:  
conquerable",
637,"consciousness","英:/'kɒnʃəsnɪs/ 美:/'kɑnʃəsnəs/","- n. 知觉
- 意识, 观念, 觉悟
- 察觉, 感觉",
638,"Converge","英:/kən'vɜːdʒ/ 美:/kən'vɝdʒ/","- vi. (线条、运动的物体等)会于一点, 向一点会合
- (趋于)相似或相同

时 态:  
converged, converging, converges",
639,"conveyor","英:/kən'veɪə/ 美:/kən'veɚ/","n. 输送机，传送机；传送带；运送者，传播者",
640,"cordless","英:/'kɔːdlɪs/ 美:/'kɔrdləs/","- n. 不用电线的
- adj. 无线的（副词cordlessly）",
641,"cordon","英:/'kɔːd(ə)n/ 美:/'kɔrdn/","- n. 警戒线；绶带；[建]束带层
- vt. 用警戒线围住；包围隔离


时 态:  
cordoned, cordoning, cordons",
642,"correlation","英:/ˌkɒrə'leɪʃ(ə)n/ 美:/ˌkɔrə'leʃən/","n. 相互的关系",
643,"cosmetic surgery","","n. 美容外科学，整容手术",
644,"cosmopolitan","英:/ˌkɒzmə'pɒlɪt(ə)n/ 美:/'kɑzmə'pɑlətn/","adj. 世界性的；世界主义的，四海一家的；见多识广的

名 词:  
cosmopolitanism",
645,"Council","英:/'kaʊns(ə)l/ 美:/'kaʊnsl/","n. 理事会；会议；委员会；顾问班子；地方议会",
646,"courtesy","英:/'kɜːtɪsɪ/ 美:/'kɝtəsi/","- n. 礼貌；好意；恩惠
- adj. 殷勤的；被承认的；出于礼节的",
647,"cramp","英:/kræmp/ 美:/kræmp/","- n. 铁夹钳；痉挛，绞痛
- vt. 使…抽筋；以铁箍扣紧；束缚，限制
- adj. 狭窄的；难解的；受限制的


时 态:  
cramped, cramping, cramps",
648,"cramped","英:/kræmpt/ 美:/kræmpt/","- adj. 狭窄的
- (字迹)挤在一起的
- 痉挛的；麻痹的，麻木的",
649,"crane","英:/kreɪn/ 美:/kren/","- n. 鹤；吊车，起重机
- vi. 伸着脖子看；迟疑，踌躇
- vt. 用起重机起吊；伸长脖子


时 态:  
craned, craning, cranes",
650,"crate","英:/kreɪt/ 美:/kret/","- n. 板条箱；篓
- vt. 将某物装入大木箱或板条箱中


时 态:  
crated, crating, crates",
651,"crayon","英:/'kreɪən/ 美:/'kreən/","- n. 蜡笔，有色粉笔
- vt. 以蜡笔作画，用颜色粉笔画


时 态:  
crayoned, crayoning, crayons 

名 词:  
crayonist",
652,"crescent","英:/'kresənt/ 美:/'krɛsnt/","- n. 新月；新月状物；伊斯兰教的标记；土耳其的新月形国徽
- adj. 新月形的；逐渐增加的
- vt. 以新月形物装饰；使成新月形


形容词:  
crescentic",
653,"critic","英:/'krɪtɪk/ 美:/'krɪtɪk/","n. 批评家，评论家；爱挑剔的人",
654,"criticize","英:/ˈkritisaiz/ 美:/'krɪtə'saɪz/","vt. & vi. 评论, 批评

时 态:  
criticized, criticizing, criticizes",
655,"crow","英:/krəʊ/ 美:/kro/","- vi. 报晓；啼叫
- n. 乌鸦；鸡鸣；撬棍


时 态:  
crowed, crowing, crows",
656,"crowd","英:/kraʊd/ 美:/kraʊd/","- n. 人群
- 听众，观众
- 一群，一批；一堆
- vt. & vi. 群集，拥挤
- vt. 挤满，塞满
- 催逼

时 态:  
crowded，crowding，crowds 

名 词:  
crowder",
657,"cruise","英:/kruːz/ 美:/krʊz/","- vi. 巡航，巡游；漫游
- vt. 巡航，巡游；漫游
- n. 巡航，巡游；乘船游览


时 态:  
cruised, cruising, cruises",
658,"cuisine","英:/kwi'zi:n/ 美:/kwɪˈzin/","- n. 烹饪艺术
- 菜肴",
659,"Curry","英:/ˈkʌri/ 美:/ˈkɚri/","- n. 咖喱食品
- vt. 用咖喱粉烹调(食物)
- 梳刷(马匹)
- 讨好； 奉承； 拍某人的马屁
Curry柯里(姓氏)

时 态:  
curried, currying, curries",
660,"cursor","英:/ˈkɜ:sə/ 美:/'kɝsɚ/","n. 光标",
661,"curtsey","英:/'kə:tsi/ 美:/ˈkə..tsɪ/","- n. (女子行的)屈膝礼
- vi. 行屈膝礼",
662,"custodial","英:/kʌs'təʊdjəl/ 美:/kʌ'stodɪəl/","- adj. 保管的,保管人的
- n. 圣物保管容器",
663,"daily easy english expression","","",
664,"dampness","英:/ˈdæmpnɪs/ 美:/'dæmpnəs/","n. 湿气；潮湿",
665,"dazed","英:/deɪzd/ 美:/dezd/","- adj. 茫然的；头昏的
- vt. 使眩晕；使惶惑（daze的过去式）",
666,"dedication","英:/dedɪ'keɪʃ(ə)n/ 美:/ˌdɛdɪ'keʃən/","- n. 奉献,献身
- 献身精神
- (书等作品上的)题词,献词",
667,"defrost","英:/diː'frɒst/ 美:/ˌdi'frɔst/","- vt. 除霜
- vi. 解冻


时 态:  
defrosted, defrosting, defrosts",
668,"delectable","英:/dɪ'lektəb(ə)l/ 美:/dɪ'lɛktəbl/","adj. 令人愉快的；美味的",
669,"demand","英:/dɪ'mɑːnd/ 美:/dɪ'mænd/","- vt. 要求
- 需要
- 想要知道, 查问
- n. 要求, 所需求之物
- 需求, 需要

时 态:  
demanded, demanding, demands 

形容词:  
demandable

名 词:  
demander",
670,"democrat","英:/'deməkræt/ 美:/'dɛməkræt/","n. 民主政体论者；民主主义者；民主党人

Democratadj. 美国民主党的",
671,"demon","英:/'diːmən/ 美:/'dimən/","n. 魔鬼；精力充沛的人；恶魔；邪恶的事物

DEMONabbr. Debug Monitor 调试监督程序",
672,"denounce","英:/dɪ'naʊns/ 美:/dɪ'naʊns/","vt. 谴责；告发；公然抨击；通告废除


时 态:  
denounced, denouncing, denounces",
673,"deposit","英:/dɪ'pɒzɪt/ 美:/dɪ'pɑzɪt/","- n. 存款；保证金；沉淀物
- vt. 存放；使沉积
- vi. 沉淀


时 态:  
deposited, depositing, deposits 

名 词:  
depositor",
674,"deride","英:/dɪ'raɪd/ 美:/dɪ'raɪd/","vt. 嘲笑；嘲弄


时 态:  
derided, deriding, derides 

名 词:  
derider

副 词:  
deridingly",
675,"derive","英:/dɪ'raɪv/ 美:/dɪ'raɪv/","- vt. & vi. 得到
- 源于

时 态:  
derived, deriving, derives 

形容词:  
derivable",
676,"Derived word","","",
677,"descend","英:/dɪ'send/ 美:/dɪ'sɛnd/","- vi. 下降；下来；遗传；屈尊；下去
- vt. 下去；沿…向下


时 态:  
descended, descending, descends",
678,"desperation","英:/despə'reɪʃn/ 美:/ˌdɛspə'reʃən/","n. 绝望；不顾一切，拼命",
679,"despise","英:/dɪ'spaɪz/ 美:/dɪ'spaɪz/","vt. 轻视，鄙视


时 态:  
despised, despising, despises",
680,"detain","英:/dɪ'teɪn/ 美:/dɪ'ten/","vt. 拘留；留住；耽搁


时 态:  
detained, detaining, detains 

名 词:  
detainment",
681,"detergent","英:/dɪ'tɜːdʒ(ə)nt/ 美:/dɪ'tɝdʒənt/","n. 洗涤剂",
682,"diagnose","英:/'daɪəgnəʊz/ 美:/ˌdaɪəɡ'nos/","- vt. 诊断；断定
- vi. 判断；诊断


时 态:  
diagnosed, diagnosing, diagnoses",
683,"diagnostic","英:/daɪəg'nɒstɪk/ 美:/ˌdaɪəɡ'nɑstɪk/","adj. 诊断的, 判断的

副 词:  
diagnostically",
684,"diagonal","英:/daɪ'æg(ə)n(ə)l/ 美:/daɪ'æɡənl/","- n. 对角线
- 斜线
- adj. 对角线的
- 斜线的
- adv. 对角线地,斜线地

副 词:  
diagonally",
685,"dice","英:/daɪs/ 美:/daɪs/","- vt. 切成方块
- n. 骰子
- vi. 掷骰子


时 态:  
diced, dicing, dices",
686,"diesel","英:/'diːz(ə)l/ 美:/'dizl/","- n. 柴油机；柴油；（俚）健康的身体
- adj. 内燃机传动的；供内燃机用的",
687,"digestive","英:/daɪ'dʒestɪv/ 美:/daɪ'dʒɛstɪv/","adj. 消化(食物)的

副 词:  
digestively",
688,"dignified","英:/'dɪgnɪfaɪd/ 美:/'dɪɡnɪfaɪd/","adj. 有尊严的, 高贵的, 显得高尚的, 庄严的",
689,"dingy","英:/'dɪn(d)ʒɪ/ 美:/'dɪndʒi/","- adj. 暗淡的,乏味的
- 肮脏的

比较级:  
dingier, dingiest 

副 词:  
dingily

名 词:  
dinginess",
690,"diorama","英:/ˌdaɪə'rɑːmə/ 美:/ˌdaɪə'rɑmə/","n. 透视画；西洋景；立体模型


形容词:  
dioramic",
691,"dismantle","英:/dɪs'mænt(ə)l/ 美:/dɪs'mæntl/","- vt. 拆开, 拆卸
- 废除, 取消

时 态:  
dismantled, dismantling, dismantles 

名 词:  
dismantlement",
692,"disruption","/dɪs'rʌpʃən/","n. 中断,分裂,瓦解,破坏",
693,"distraction","英:/dɪ'strækʃ(ə)n/ 美:/dɪ'strækʃən/","n. 注意力分散；消遣；心烦意乱",
694,"dizzy","英:/'dɪzɪ/ 美:/'dɪzi/","- adj. 晕眩的；昏乱的；使人头晕的；心不在焉的；[口]愚蠢的
- vt. 使头晕眼花；使混乱；使茫然


比较级:  
dizzier, dizziest 

副 词:  
dizzily

名 词:  
dizziness

副 词:  
dizzyingly",
695,"docudrama","英:/'dɒkjʊ,drɑːmə/ 美:/'dɑkjudrɑmə/","n. 文献电视片",
696,"documentaries","","n. 记录片",
697,"documentary","英:/dɒkjʊ'ment(ə)rɪ/ 美:/'dɑkjə'mɛntri/","- n. 纪录片
- adj. 文件的, 文书的",
698,"dolphin","英:/'dɒlfɪn/ 美:/'dɑlfɪn/","n. 海豚",
699,"dominate","英:/'dɒmɪneɪt/ 美:/'dɑmɪnet/","- vt. 支配；控制；占优势；在…中占主要地位
- vi. 处于支配地位；占优势


时 态:  
dominated, dominating, dominates 

形容词:  
dominative

名 词:  
dominator",
700,"dormitory","英:/'dɔːmɪt(ə)rɪ/ 美:/'dɔrmətɔri/","n. 集体宿舍",
701,"dough","英:/dəʊ/ 美:/do/","n. 生面团；[美俚]金钱",
702,"doughnut","英:/'dəʊnʌt/ 美:/'do'nʌt/","n. [计]圆环图；油炸圈饼；电子回旋加速器环状真空室",
703,"down","英:/daʊn/ 美:/daʊn/","- adv. 向下，下去；在下面
- adj. 向下的
- n. 软毛，绒毛；开阔的高地
- prep. 沿着，往下
- vt. 打倒，击败
- vi. 下去；下降


时 态:  
downed, downing, downs",
704,"drain","英:/dreɪn/ 美:/dren/","- vi. 排水；流干
- vt. 喝光，耗尽；使流出；排掉水
- n. 排水；消耗；下水道，排水管


时 态:  
drained, draining, drains 

形容词:  
drainable

名 词:  
drainer",
705,"dreadful","英:/'dredfʊl/ 美:/'drɛdfəl/","adj. 可怕的；糟透的，令人不快的


副 词:  
dreadfully",
706,"drill","英:/drɪl/ 美:/drɪl/","- n. 钻子；钻孔机；播种机；训练
- vi. 钻孔；训练
- vt. 训练；钻孔；条播


时 态:  
drilled, drilling, drills 

名 词:  
driller",
707,"drop out","","退出, 退学",
708,"dungeon","英:/'dʌn(d)ʒ(ə)n/ 美:/'dʌndʒən/","n. 地牢",
