#,单词,音标,解释,笔记
955,"Pasta","英:/'pæstə/ 美:/'pɑstə/","pasta UK  [ˈpæstə] US  [ˈpɑstə] noun [countable/uncountable] [singular pasta plural pastas] ★
  an Italian food made from flour and water, and sometimes eggs. There are many different forms of pasta, for example spaghetti , ravioli , and lasagne . 

      Thesaurus: european and mediterranean foodhyponym",
956,"pathetic","英:/pə'θetɪk/ 美:/pə'θɛtɪk/","pathetic UK  [pəˈθetɪk] US  adjective ★
  1. useless or not effective in an annoying way
      That’s the most pathetic excuse I’ve ever heard.
      He made a pathetic attempt to explain his failure.
      Thesaurus: making you feel angry or annoyedsynonym not effective or useful and not working correctlysynonym 
  2. if someone or something looks or sounds pathetic, you feel sympathy for them
      The child looked so small and pathetic.
      a pathetic story
      Thesaurus: making you feel sad or upsetsynonym 
      Derived Word: pathetically",
957,"patio","英:/'pætɪəʊ/ 美:/'pætɪo/","patio UK  [ˈpætiəʊ] US  [ˈpætioʊ] noun [countable] [singular patio plural patios]
  a flat area covered with stone, brick etc at the back of a house, where people can sit outside
      Thesaurus: areas around buildingshyponym farm buildings and structures where animals are kepthyponym",
958,"pebbly","英:/'peblɪ/ 美:/'pɛbli/","pebbly UK  [ˈpeb(ə)li] US  adjective
  containing a lot of pebbles
      a pebbly beach
      Thesaurus: words used to describe soil and soil qualityhyponym",
959,"pentagon","英:/'pentəɡ(ə)n/ 美:/'pɛntəɡɑn/","the Pentagon UK  [ˈpentəɡən] US  [ˈpentəˌɡɑn]
  the department of the US government that controls the armed forces, or the building that belongs to this department
      Rumours of American involvement have been denied by the Pentagon. 
      Thesaurus: us government departments and organizationshyponympentagon UK  [ˈpentəɡən] US  [ˈpentəˌɡɑn] noun [countable] [singular pentagon plural pentagons] maths
  a shape with five sides, usually of equal length, and angles greater than 90° 

      Thesaurus: shapes with many angleshyponym general words for shapesynonym",
960,"pepperoni","英:/ˌpepə'rəʊnɪ/ 美:/ˌpɛpə'roni/","pepperoni UK  [ˌpepəˈrəʊni] US  [ˌpepəˈroʊni] noun [uncountable]
  a type of Italian sausage that is used in foods such as pizza
      Thesaurus: european and mediterranean foodhyponym burgers and sausageshyponym",
961,"periodic","英:/ˌpɪərɪ'ɒdɪk/ 美:/ˌpɪrɪ'ɑdɪk/","periodic UK  [ˌpɪəriˈɒdɪk] US  [ˌpɪriˈɑdɪk] adjective only before noun
  happening regularly though not frequently
      The committee has to prepare periodic progress reports.
      Despite a UN peace plan, periodic fighting continues.
      Thesaurus: sometimes, but not oftensynonym regularly and regularsynonym 
      Derived Word: periodically",
962,"periodically","英:/ˌpɪərɪ'ɒdɪkəlɪ/ 美:/pɪrɪ'ɑdɪkli/","periodically UK  [ˌpɪəriˈɒdɪkli] US  [ˌpɪriˈɑdɪkli] adverb
      She suffers periodically from back pain.
      Thesaurus: sometimes, but not oftensynonym regularly and regularsynonym 
      Main entry: periodic",
963,"perk","英:/pɜːk/ 美:/pɝk/","▪ I. perk 1 UK  [pɜː(r)k] US  [pɜrk] noun [countable] [singular perk plural perks]
    an extra payment or benefit that you get in your job
        Free theatre tickets are one of the perks of this job.
        Thesaurus: extra payments and benefits in addition to wageshyponym wages and salariessynonym 
      a. a benefit or advantage that you get from a situation
        At 15 I looked forward to the perks of adult life.
        Thesaurus: advantages and benefitssynonym 
▪ II. perk 2 UK  [pɜː(r)k] US  [pɜrk] verb [present tense I/you/we/they perk he/she/it perks present participle perking past tense perked past participle perked]
        Phrasal Verb: perk up",
964,"persimmon","英:/pə'sɪmən/ 美:/pɚ'sɪmən/","persimmon UK  [pə(r)ˈsɪmən] US  [pərˈsɪmən] noun [countable/uncountable] [singular persimmon plural persimmons]
  a soft sweet fruit that looks like a large orange-coloured tomato and grows on a persimmon tree
      Thesaurus: fruitshyponym parts of fruit and substances in fruitmeronym",
965,"persuade","英:/pə'sweɪd/ 美:/pɚ'swed/","persuade UK  [pə(r)ˈsweɪd] US  [pərˈsweɪd] verb [transitive] [present tense I/you/we/they persuade he/she/it persuades present participle persuading past tense persuaded past participle persuaded] ★★★ 
      
      Ways of persuading someone to do/​not do something       
      It might be a good idea if / It might be better if
      a polite way of persuading someone
      Why don’t you think about / Have you ever thought about
      a polite and indirect way of persuading someone
      Please
      an informal way of persuading someone when you really want them to do something
      Go on / Go for it
      an informal way of persuading someone to make an effort to achieve something
      I’d/​We’d really like you to
      a strong but polite way of persuading someone
      I think you should
      a strong and direct way of persuading someone
      I’d prefer it if you didn’t
      a polite but forceful way of persuading someone not to do something
      I/​We would appreciate it if
      a polite way of persuading someone to do or not do something, usually when you are slightly annoyed with them
      Examples:
      You know, it might be better if you let Maggie drive from now on. You’re looking tired.
      Why don’t you think about taking three weeks’ holiday instead of two? It might do you good.
      Oh, go on, please come to the party! I don’t want to go without you.
      Go on , try again. You nearly did it that time. ♦ Look, it’s a great opportunity and you may not get another chance – go for it !
      We’d really like you to come with us to France. ♦ I think you should forget about the whole thing and just get on with doing your job.
      I’d really prefer it if you didn’t put your feet on the sofa.
      I would appreciate it if you would stop putting your rubbish in our bin. 
  1. to make someone agree to do something by giving them reasons why they should
      He did finally come with us, although it took a long time to persuade him.
      persuade someone to do something: Nobody could persuade her to change her mind.
      Thesaurus: to encourage someone to do or to not do somethingsynonym 
    1a. to cause someone to do something by being a good reason for doing it
      persuade someone to do something: What persuaded you to accept the job?
      Thesaurus: to encourage someone to do or to not do somethingsynonym 
  2. to make someone believe that something is true
      Their argument failed to persuade me.
      persuade someone (that): I managed to persuade him that it was not his fault.
      persuade someone of something: There was no way she could persuade him of her innocence.
      Thesaurus: to persuade someone to agree with or support yousynonym",
966,"petrol","英:/'petr(ə)l/ 美:/'pɛtrəl/","petrol UK  [ˈpetrəl] US  noun [uncountable] British ★★
  a liquid used as fuel for cars and other vehicles. The American word is gasoline
      petrol prices/​fumes/​pumps
      How far can you go on a tankful of petrol?
      I need to fill up with petrol (=fill the car with petrol)
      before we leave.
      We ran out of petrol in the middle of nowhere.
      Thesaurus: oil used as fuel and in chemical productshyponym",
967,"petticoat","英:/'petɪkəʊt/ 美:/'pɛtɪkot/","petticoat UK  [ˈpetiˌkəʊt] US  [ˈpetiˌkoʊt] noun [countable] [singular petticoat plural petticoats]
  a piece of women’s underwear that is like a thin loose skirt or dress with no sleeves
      Thesaurus: underwearhyponym",
968,"pheasant","英:/'fez(ə)nt/ 美:/'fɛznt/","pheasant UK  [ˈfez(ə)nt] US  [ˈfezənt] noun [singular pheasant plural pheasant pheasants]
  [countable] a large bird with a long tail that is hunted for sport and food
      Thesaurus: species of birdhyponym 
    a. [uncountable] the meat from a pheasant
      Thesaurus: types of meathyponym",
969,"phrasal","英:/'freɪz(ə)l/ 美:/'frezl/","phrasal UK  [ˈfreɪz(ə)l] US  adjective formal
  relating to phrases, or consisting of a phrase
      Thesaurus: linguistic terms relating to word formation and phrase buildinghyponym",
970,"pickle","英:/'pɪk(ə)l/ 美:/'pɪkl/","▪ I. pickle 1 UK  [ˈpɪk(ə)l] US  noun [singular pickle plural pickles]
    1. [uncountable] British a thick sauce consisting of vegetables or fruit preserved in vinegar , eaten especially with cold food
        lime pickle
        Thesaurus: savoury sauces and vinegarshyponym types of food or drinkhypernym 
    2. [countable] mainly American a cucumber or other vegetable preserved in vinegar or salt water
        Thesaurus: processed vegetableshyponym 
        Phrase: in a pickle
▪ II. pickle 2 UK  [ˈpɪk(ə)l] US  verb [transitive] [present tense I/you/we/they pickle he/she/it pickles present participle pickling past tense pickled past participle pickled]
    to preserve food in vinegar or salt water
        Thesaurus: preserve foodhyponym",
971,"pierce","英:/pɪəs/ 美:/pɪrs/","pierce UK  [pɪə(r)s] US  [pɪrs] verb [transitive] [present tense I/you/we/they pierce he/she/it pierces present participle piercing past tense pierced past participle pierced] ★
  1. if a sharp object pierces something, it makes a hole in it
      The knife entered his chest and pierced his heart.
      Thesaurus: to make a hole, dent or line in somethingsynonym holes and openings in surfaceshyponym 
    1a. to make a hole in something by pushing a sharp object into it
      Pierce the potatoes several times and place in a hot oven.
      Thesaurus: to make a hole, dent or line in somethingsynonym holes and openings in surfaceshyponym 
    1b. if you have a part of your body pierced, you have a small hole made in it so that you can wear jewellery in it
      I had my ears pierced years ago.
      a pierced nose
      Thesaurus: tattoos and piercingshyponym 
    1c. formal if a surface is pierced by holes, there are holes in it
      Passageways were pierced through the walls of houses.
      Thesaurus: to make a hole, dent or line in somethingsynonym holes and openings in surfaceshyponym 
  2. mainly literary if sound or light pierces something, it suddenly sounds very loudly or shines very brightly
      A wolf’s howl pierced the silence of the dark night.
      Thesaurus: what light can dosynonym what sound can do and changing soundssynonym 
    2a. if a feeling pierces you, it affects you very strongly
      Her words pierced Sophie’s heart.
      Thesaurus: what feelings and emotions dosynonym",
972,"pigheaded","英:/'pɪɡ'hedɪd/ 美:/'pɪg'hɛdɪd/","pigheaded UK  [ˌpɪɡˈhedɪd] US  [ˌpɪɡˈhedəd] adjective informal
  not willing to change your opinions or intentions, even when it is obvious that they are not right
      Thesaurus: words used to describe someone who is stubborn and narrow-mindedsynonym",
973,"pile","英:/paɪl/ 美:/paɪl/","▪ I. pile 1 UK  [paɪl] US  noun [singular pile plural piles] ★★
    1. [countable] a number of things put on top of each other
        She sorted her clothes into tidy piles.
        pile of: a pile of books and papers
        Thesaurus: piles of thingssynonym 
      1a. a lot of things that have been put or have fallen together in an untidy way
        The rubbish lay in piles on the street.
        pile of: The old house had been knocked down, and there was nothing left but piles of stones.
        Thesaurus: piles of thingssynonym 
    2. [countable] often plural informal a large amount of something
        I’d got through piles of work before lunchtime.
        Thesaurus: large quantities or amountssynonym large amounts or quantities of a specific kindhyponym 
      2a. [singular] a large amount of money
        He made a pile from his investments.
        Thesaurus: large amounts of moneysynonym 
    3. [singular/uncountable] the surface of a carpet or cloth, formed by the ends of fibres that have been cut
        Thesaurus: relating to cloth and fabricsynonym cloth and fibres made from plantshyponym 
    4. [countable] a large strong post that is driven into the ground to support a building or other structure
        Thesaurus: frames and supports for structuressynonym doors and windowshyponym 
    5. [countable] informal a very large old house or other building
        Thesaurus: buildings where people live or stayhyponym 
    6. piles variant [plural] informal haemorrhoids
        Thesaurus: specific medical conditionshyponym general words for illnesses, diseases and medical conditionssynonym 
        Phrases: bottom of the pile ▪ top of the pile
▪ II. pile 2 UK  [paɪl] US  verb [present tense I/you/we/they pile he/she/it piles present participle piling past tense piled past participle piled] ★
    1. pile variant pile up variant [transitive] to put a large number of things on top of each other
        A group of boys were piling branches in a heap for their bonfire.
        The paving stones were still there, neatly piled against the hedge.
        piled (high) with something: supermarket trolleys piled high with shopping
        Thesaurus: to put things together or in a particular ordersynonym 
      1a. to put a large amount of something somewhere
        Pile the cottage cheese onto the potatoes.
        a huge plate piled high with spaghetti
        Thesaurus: general words meaning to put something somewheresynonym 
      1b. if a woman’s hair is piled up, it is fastened to the top of her head rather than hanging down
        Her dark hair was piled high on the crown of her head.
        Thesaurus: hairdressers and hairdressinghyponym 
    2. [intransitive] if things pile somewhere, they gather there in a group
        Leaves blew across the park, piling against the railings.
        Thesaurus: to move closer together in a groupsynonym 
        Phrasal Verbs: pile in ▪ pile into ▪ pile on ▪ pile out ▪ pile up",
974,"pilot","英:/'paɪlət/ 美:/'paɪlət/","▪ I. pilot 1 UK  [ˈpaɪlət] US  noun [countable] [singular pilot plural pilots] ★★★
    1. someone who flies an aircraft
        He’s training to be an airline pilot.
        Thesaurus: people who work for airlines and people who travel on planeshyponym 
    2. someone who leads a ship through a difficult or dangerous area of water
        Thesaurus: sailors and people who work on boats and shipshyponym 
    3. a television programme that is broadcast to find out if people would enjoy a whole series
        Thesaurus: types of television or radio programmehyponym 
        See also: automatic pilot
▪ II. pilot 2 UK  [ˈpaɪlət] US  verb [transitive] [present tense I/you/we/they pilot he/she/it pilots present participle piloting past tense piloted past participle piloted]
    1. to fly an aircraft
        Thesaurus: to operate an aircrafthyponym 
      1a. to lead a ship through a difficult or dangerous area of water
        Thesaurus: sailing and boatinghyponym 
    2. to try something with a small group of people to find out if it would be successful or popular
        The programme will initially be piloted in four schools.
        Thesaurus: to test something or someonesynonym 
    3. mainly journalism to make sure that something such as a new law is introduced or accepted
        In 1980, he piloted the Wildlife and Countryside Bill through the House of Commons.
        Thesaurus: creating, amending and abolishing lawshyponym 
    4. to give someone advice or instructions that help them to do something
        Our advisers are here to pilot members through the new procedure.
        Thesaurus: to help someonesynonym 
▪ III. pilot 3 UK  [ˈpaɪlət] US  adjective only before noun
    done in one place or with only a few people in order to find out if something will be successful or popular
        a pilot study/​project
        Thesaurus: newsynonym",
975,"pistol","英:/'pɪst(ə)l/ 美:/'pɪstl/","pistol UK  [ˈpɪst(ə)l] US  noun [countable] [singular pistol plural pistols]
  a small gun that you hold in one hand
      Thesaurus: types of gun and general words for gunhyponym parts of a gunmeronym",
976,"piston","英:/'pɪst(ə)n/ 美:/'pɪstən/","piston UK  [ˈpɪstən] US  noun [countable] [singular piston plural pistons]
  the part of an engine that moves up and down to create power
      Thesaurus: parts of machines and machinerymeronym describing machines and pieces of equipmenthyponym",
977,"plastic surgery","","Plastic Surgery 11 
  boob job noun boob job 
      informal a medical operation to change the size of a woman’s breasts, especially to make them bigger 
  Botox Botox 
      trademark botulinum toxin: a substance that can be injected into someone’s face to make the muscles relax and the skin look smoother and younger 
  collagen noun collagen 
      a type of protein that is often used in skin cream and in plastic surgery because it makes skin look younger 
  cosmetic surgery noun cosmetic surgery 
      medical operations that improve someone’s appearance 
  facelift 1 noun facelift 
      a medical operation to make someone’s face look younger 
  nip and tuck noun nip and tuck 
      informal a medical operation to make someone look thinner or younger, in which some of their fat is removed and their skin is made tighter 
  nose job noun nose job 
      informal a medical operation to change the appearance of someone’s nose so that they look more attractive 
  plastic surgeon noun plastic surgeon 
      a doctor whose job is to improve the appearance of a part of someone’s body, either to repair an injury or to make the person more attractive 
  plastic surgery noun plastic surgery 
      medical operations to improve the appearance of a part of someone’s body, either to repair an injury or to make the person more attractive 
  tuck 2a verb tuck 
      informal if a part of someone’s body is tucked, they have plastic surgery to make their skin tighter and make them look younger or thinner 
  tuck 2 noun tuck 
      a medical operation to make your skin tighter and make you look younger or thinnerplastic surgery UK  US  noun [uncountable]
  medical operations to improve the appearance of a part of someone’s body, either to repair an injury or to make the person more attractive
      Thesaurus: plastic surgeryhyponym 
      See also: cosmetic surgery",
978,"plural","英:/'plʊər(ə)l/ 美:/'plʊrəl/","▪ I. plural UK  [ˈplʊərəl] US  [ˈplʊrəl] adjective ★
    1. linguistics a plural word or form is used for referring to more than one person or thing
        Thesaurus: describing words, clauses and sentenceshyponym 
    2. formal consisting of different types of people or things
        Thesaurus: words used to describe mixtures and collectionshyponym to mix things, or to become mixedsynonym 
▪ II. the plural UK  [ˈplʊərəl] US  [ˈplʊrəl] noun linguistics
    a word or form used for referring to more than one person or thing. For example ‘students’ is the plural of ‘student’, and ‘mice’ is the plural of ‘mouse’.
        Thesaurus: types and forms of word, clause or sentencehyponym",
979,"poignant","英:/'pɒɪnjənt/ 美:/'pɔɪnjənt/","poignant UK  [ˈpɔɪnjənt] US  adjective
  giving you feelings of sadness
      The roadside crosses are a poignant reminder of fatal accidents.
      a poignant film
      Thesaurus: making you feel sad or upsetsynonym",
980,"polar fleece","","",
981,"politician","英:/pɒlɪ'tɪʃ(ə)n/ 美:/ˌpɑlə'tɪʃən/","politician UK  [ˌpɒləˈtɪʃ(ə)n] US  [ˌpɑləˈtɪʃ(ə)n] noun [countable] [singular politician plural politicians] ★★★
  1. someone who has a job in politics, especially a Member of Parliament
      Thesaurus: politicianshyponym 
  2. someone who is good at using people or situations to their own advantage
      Thesaurus: people who are considered dishonest or insinceresynonym",
982,"pollinate","英:/'pɒlɪneɪt/ 美:/'pɑlənet/","pollinate UK  [ˈpɒləneɪt] US  [ˈpɑləˌneɪt] verb [transitive] [present tense I/you/we/they pollinate he/she/it pollinates present participle pollinating past tense pollinated past participle pollinated] biology
  to place pollen from one flower on another flower in order to help it to produce seed
      Thesaurus: insect behaviourhyponym gardeninghyponym 
      Derived Word: pollination",
983,"polyester","英:/ˌpɒlɪ'estə/ 美:/ˌpɑlɪ'ɛstɚ/","polyester UK  [ˌpɒliˈestə(r)] US  [ˌpɑliˈestər] noun [uncountable]
  a light cloth made from artificial fibres It dries quickly after it is washed and is used especially to make clothes .
      Thesaurus: cloth from artificial fibreshyponym",
984,"pony tail","","ponytail UK  [ˈpəʊniˌteɪl] US  [ˈpoʊniˌteɪl] noun [countable] [singular ponytail plural ponytails]
  long hair that is tied at the back of the head and hangs down
      Thesaurus: hairstyle and types of hairstylehyponym",
985,"portal","英:/'pɔːt(ə)l/ 美:/'pɔrtl/","portal UK  [ˈpɔː(r)t(ə)l] US  [ˈpɔrt(ə)l] noun [countable] [singular portal plural portals]
  1. a large decorated entrance to a building
      Thesaurus: entrances and exits and gatewayshyponym 
  2. computing an Internet site (=place) that has links (=connections) to other places
      Thesaurus: types of websitehyponym 
  3. portals variant [plural] often humorous the entrance to a building where a particular group of people meet; used to talk about who is allowed to join that group of people
      Women had never been allowed within the club’s portals.
      Thesaurus: club membership and joining a club, organization or grouphyponym to leave a club, organization or groupsynonym",
986,"portfolio","英:/pɔːt'fəʊlɪəʊ/ 美:/pɔrt'folɪo/","portfolio UK  [pɔː(r)tˈfəʊliəʊ] US  [pɔrtˈfoʊlioʊ] noun [countable] [singular portfolio plural portfolios] ★
  1. a large flat case for carrying large pieces of paper, especially pictures or paintings
      Thesaurus: artists' materials and equipmenthyponym 
  2. art a collection of pictures, photographs, or documents that you use as examples of work you have done
      Thesaurus: collections, stores and sets of thingshyponym to mix things, or to become mixedsynonym 
  3. all the investments that a person or company has made
      Thesaurus: investing and investmentshyponym to invest moneysynonym 
    3a. all the responsibilities of a government minister
      Thesaurus: government programmes and policieshyponym 
    3b. used about other sets of things that belong to someone
      They’re looking to expand their portfolio of customers.
      an agency with an impressive portfolio of talent
      Thesaurus: collections, stores and sets of thingshyponym to mix things, or to become mixedsynonym 
      Phrase: minister without portfolio",
987,"portrait","英:/ˈpɔː.trət/ 美:/ˈpɔːr.trɪt/","portrait UK  [ˈpɔː(r)trɪt] US  [ˈpɔrtrət] noun [singular portrait plural portraits] ★★
  1. [countable] a painting, drawing, or photograph of someone, especially of their face only
      Thesaurus: specfic types of picture or work of arthyponym 
  2. [countable] a description of someone or something, for example in a book
      portrait of: an interesting portrait of life under communism
      Thesaurus: descriptions and storiessynonym 
  3. [uncountable] a way of arranging a page so that its short sides are at the top and bottom. The other way of arranging a page, with the long sides at the top and bottom, is called landscape .
      Thesaurus: printing and fonts and print layouthyponym",
988,"Portuguese","英:/ˌpɔ:tʃəˈgi:z/ 美:/ˌpɔrtʃəˈɡiz/","▪ I. Portuguese 1 UK  [ˌpɔː(r)tʃʊˈɡiːz] US  [ˌpɔrtʃəˈɡiz] noun [uncountable]
    the language that people speak in Portugal. Portuguese is also the official language of Brazil.
        Thesaurus: languageshyponym 
▪ II. Portuguese 2 UK  [ˌpɔː(r)tʃʊˈɡiːz] US  [ˌpɔrtʃəˈɡiz] adjective
    1. someone who is Portuguese is from Portugal
        Thesaurus: describing people according to the part of the world they come fromhyponym 
      1a. the Portuguese variant the people of Portugal
        Thesaurus: words for people according to the part of the world they come fromhyponym 
    2. relating to Portugal, or its language or culture
        Portuguese history
        Thesaurus: relating to a country, or its language or culturehyponym",
989,"posing","","近义词：[n.] motion, movement, move, motility",
990,"pottery","英:/'pɒt(ə)rɪ/ 美:/'pɑtəri/","pottery UK  [ˈpɒtəri] US  [ˈpɑtəri] noun [singular pottery plural potteries] ★
  [uncountable] objects such as plates and cups that are made out of clay and baked in an oven so that they become hard
      hand-painted pottery
      Thesaurus: potteryhyponym general words for tableware and earthenwarehyponym 
    a. [uncountable] the activity of making pottery
      a pottery class
      Thesaurus: artistic activitieshyponym 
    b. [countable] a factory where pottery is made
      Thesaurus: factories and industrial buildingshyponymPottery 8 
  ceramics 2 noun ceramics 
      art ceramic objects, decorations, or art 
  china clay noun china clay 
      a soft white clay used for making expensive cups, plates etc 
  fire 5 verb fire 
      to bake clay at a very high temperature so that it becomes very hard 
  kiln noun kiln 
      a type of oven used for baking clay, bricks etc to make them hard 
  knead 1 verb knead 
      to prepare dough or clay by pressing it continuously 
  potter noun potter 
      someone who makes dishes or other objects out of clay 
  pottery noun pottery 
      objects such as plates and cups that are made out of clay and baked in an oven so that they become hard 
  slip 7 noun slip 
      liquid clay used in making pots",
991,"practitioner","英:/præk'tɪʃ(ə)nə/ 美:/præk'tɪʃənɚ/","practitioner UK  [prækˈtɪʃ(ə)nə(r)] US  [prækˈtɪʃ(ə)nər] noun [countable] [singular practitioner plural practitioners] formal
  1. someone who works in a particular profession, especially medicine or law
      He decided to travel against the advice of a medical practitioner.
      Thesaurus: general words for workers and types of workerhyponym general words relating to jobs and workhypernym 
  2. someone who does a particular activity
      practitioners of fine art
      one of golf’s most experienced practitioners
      Thesaurus: general words for type of personsynonym 
      See also: general practitioner",
992,"prawn","英:/prɔːn/ 美:/prɔn/","prawn UK  [prɔːn] US  [prɔn] noun [countable] [singular prawn plural prawns]
  a shellfish that can be eaten
      Thesaurus: shellfish and shellshyponym",
993,"precise","英:/prɪ'saɪs/ 美:/prɪ'saɪs/","precise UK  [prɪˈsaɪs] US  adjective ★★
  1. exact and accurate
      Lara was able to tell me everything that had happened in precise detail.
      There is no precise definition of a storm.
      Can you be a bit more precise?
      The precise date and place of his birth are unknown.
      Thesaurus: exact and accuratesynonym 
    1a. someone who is precise is always careful to be accurate and to behave correctly
      Thesaurus: careful and cautioussynonym 
  2. only before noun used for emphasizing that something is definite or clearly true
      At that precise moment, someone came round the corner.
      The result of the reforms was the precise opposite of the emperor’s intention.
      Thesaurus: ways of emphasizing that something is true or exactsynonym 
      Derived Word: preciseness
      Phrase: to be precise",
994,"precision","英:/prɪ'sɪʒ(ə)n/ 美:/prɪ'sɪʒn/","▪ I. precision 1 UK  [prɪˈsɪʒ(ə)n] US  noun [uncountable] ★
    the quality of being very accurate and exact
        He kicks the ball with precision and accuracy.
        Thesaurus: quality of being exact and accuratesynonym 
▪ II. precision 2 UK  [prɪˈsɪʒ(ə)n] US  adjective
    very exact and accurate
        precision machinery
        Thesaurus: exact and accuratesynonym 
      a. needing skill and accurate movements
        precision horseriding
        Thesaurus: difficult to do and involving a lot of effortsynonym",
995,"predominate","英:/prɪ'dɒmɪneɪt/ 美:/prɪ'dɑmə'net/","predominate UK  [prɪˈdɒmineɪt] US  [prɪˈdɑmiˌneɪt] verb [intransitive] [present tense I/you/we/they predominate he/she/it predominates present participle predominating past tense predominated past participle predominated] formal
  1. to have more power, influence, or importance than other things or people
      The desire for profits should not predominate over the public good.
      Thesaurus: to be important, or to give something importancesynonym 
  2. to be greater in number or amount than others
      a country in which Roman Catholics predominate
      Thesaurus: to exist in large or larger amountssynonym",
996,"preempt","英:/prɪ'empt/ 美:/ˌprimpt/","pre-empt UK  [priːˈempt] US  [priˈempt] verb [transitive] [present tense I/you/we/they pre-empt he/she/it pre-empts present participle pre-empting past tense pre-empted past participle pre-empted]
  to do or say something that stops someone else’s plan or action
      He released a statement designed to pre-empt criticism.
      Thesaurus: to prevent something from happeningsynonym to kill a person or animalsynonym",
997,"preposition","英:/ˌprepə'zɪʃ(ə)n/ 美:/ˌprɛpə'zɪʃən/","preposition UK  [ˌprepəˈzɪʃ(ə)n] US  noun [countable] [singular preposition plural prepositions] linguistics ★
  a word that usually comes before a noun or a pronoun and shows its relation to another part of the sentence. In the sentences ‘I left it on the table’ and ‘She came out of the house’, the words ‘on’ and ‘out of’ are prepositions.
      Thesaurus: prepositionshyponym 
      Derived Word: prepositional",
998,"prescribe","英:/prɪ'skraɪb/ 美:/prɪ'skraɪb/","prescribe UK  [prɪˈskraɪb] US  verb [transitive] [present tense I/you/we/they prescribe he/she/it prescribes present participle prescribing past tense prescribed past participle prescribed] ★★
  1. if a doctor prescribes a drug or treatment, they say you should have it
      The drug should not be taken unless prescribed by a doctor.
      prescribe someone something: He was prescribed a course of antibiotics.
      prescribe something for something: This drug is one of the most commonly prescribed for arthritis.
      Thesaurus: work or job of a doctor or nursehyponym medical tests and examinationshyponym 
  2. formal to state officially what should be done in a particular situation
      All the conditions prescribed by law have been complied with.
      Thesaurus: judgments, verdicts and official ordershyponym",
999,"present perfect","英:/ˈprezənt ˈpɜ:fɪkt/ 美:/ˈprɛzənt ˈpɚfɪkt/","the present perfect UK  US  noun linguistics
  in English, a verb tense that expresses an action that was completed at some time in the past, or that started in the past and continues. The tense is formed by combining the present tense of ‘have’ and the past participle of a verb, as in the sentence ‘She has paid the bill’.
      Thesaurus: verb forms and tenseshyponym",
1000,"Preservative","英:/prɪ'zɜːvətɪv/ 美:/prɪ'zɝvətɪv/","preservative UK  [prɪˈzɜː(r)vətɪv] US  [prɪˈzɜrvətɪv] noun [countable/uncountable] [singular preservative plural preservatives] chemistry
  a chemical substance used for preventing food or wood from decaying
      wood preservative
      This drink contains no artificial flavourings or preservatives.
      Thesaurus: substances and chemicals in food and drinkhyponym types of food or drinkhypernym",
1001,"prestigious","英:/pre'stɪdʒəs/ 美:/prɛ'stɪdʒəs/","prestigious UK  [preˈstɪdʒəs] US  [preˈstidʒəs] adjective
  admired and respected by people
      a prestigious school/​institution/​literary prize
      Thesaurus: deserving praise, respect and admirationsynonym",
1002,"priority","英:/praɪ'ɒrɪtɪ/ 美:/praɪ'ɔrəti/","priority UK  [praɪˈɒrəti] US  [praɪˈɔrəti] noun [singular priority plural priorities] ★★★
  1. [countable] something important that must be done first or needs more attention than anything else
      We should be able to agree on priorities.
      Being fashionable was low on her list of priorities.
      top/​high/​main/​immediate priority: Health insurance will be our top priority.
      set/​establish/​identify priorities: discussion groups that set priorities for research
      Thesaurus: important thing or detailsynonym 
    1a. [uncountable] the importance that you give to something that must be done
      Let’s list them in order of priority.
      give something top/​high priority: Safety must be given the highest priority.
      give priority to something: Priority will be given to children of families with low incomes.
      take priority (=be more important): Their marriage took priority over everything else.
      put/​place a high priority on: The government is putting a high priority on constitutional reform.
      Thesaurus: importancesynonym 
      
      Collocations       
      Verbs frequently used with priority  1  as the object
      ▪   accord, determine, establish, give, identify, outline, set
  2. [uncountable] the right to go before someone or something else, or to receive something before they do
      take/​have priority: Buses take priority over other vehicles on the road.
      Thesaurus: right to know, have or do somethingsynonym",
1003,"priority seats","","",
1004,"prism","英:/'prɪz(ə)m/ 美:/'prɪzəm/","prism UK  [ˈprɪz(ə)m] US  [ˈprɪzəm] noun [countable] [singular prism plural prisms] maths
  a solid object that has a regular shape and can be cut into slices that all have the same shape. A prism usually has two or more sides shaped like a triangle .
      Thesaurus: shapes with many angleshyponym general words for shapesynonym 
    a. a glass object in the shape of a prism, used for dividing light into its different colours
      Thesaurus: equipment used in scientific researchhyponym",
1005,"probate","英:/'prəʊbeɪt/ 美:/'probet/","probate UK  [ˈprəʊbeɪt] US  [ˈproʊˌbeɪt] noun [uncountable] legal
  the process of proving that a will (=a document with the details of who gets your property when you die) can be accepted as legally correct
      Thesaurus: inheritance, inheriting and heritagehyponym",
